profile,kind,angle,F_peak_geo,t_peak_R,t_span_R,c15_rel,g3_map_rel
mission_m31_arrive_eta0.1,mission,dest,0.10025924630669401,2.1707277361893546e+20,2.1707277361893546e+20,2.460664133741986e-16,0.0
mission_m31_arrive_eta0.1,mission,side,0.04535915878119018,0.0,2.411030290192907e+20,2.460664133741986e-16,1.3590870315187216e-16
mission_m31_arrive_eta0.1,mission,depart,0.09071831756238036,0.0,2.6513328441964593e+20,2.460664133741986e-16,0.0
mission_m31_arrive_eta0.24,mission,dest,0.11532558411976335,7.801088736951398e+19,7.801088736951398e+19,1.4549382935326348e-16,0.0
mission_m31_arrive_eta0.24,mission,side,0.04535915878119018,0.0,1.0204114276986921e+20,1.4549382935326348e-16,0.0
mission_m31_arrive_eta0.24,mission,depart,0.09071831756238036,0.0,1.2607139817022444e+20,1.4549382935326348e-16,0.0
mission_m31_arrive_eta0.5,mission,dest,0.14956921980722548,2.797009780625517e+19,2.797009780625517e+19,9.347151466088164e-16,0.0
mission_m31_arrive_eta0.5,mission,side,0.04535915878119018,0.0,5.2000353206610395e+19,9.347151466088164e-16,0.0
mission_m31_arrive_eta0.5,mission,depart,0.09071831756238036,0.0,7.603060860696563e+19,9.347151466088164e-16,0.0
mission_m31_arrive_eta1.0,mission,dest,0.24659795413819555,7.522317859872048e+18,7.522317859872048e+18,4.4519273230429795e-16,0.0
mission_m31_arrive_eta1.0,mission,side,0.04535915878119018,0.0,3.1552573260227277e+19,4.4519273230429795e-16,0.0
mission_m31_arrive_eta1.0,mission,depart,0.09071831756238036,0.0,5.558282866058251e+19,4.4519273230429795e-16,0.0
mission_m31_arrive_eta12.0,mission,dest,14764.840852748175,1814348950.7261624,1814348956.0223489,0.0,4.993474918805959e-15
mission_m31_arrive_eta12.0,mission,side,0.04535915878119018,0.0,2.4030255402169565e+19,0.0,1.7045178802511578e-16
mission_m31_arrive_eta12.0,mission,depart,0.09071831756238036,0.0,4.8060510802524774e+19,0.0,0.0
mission_m31_arrive_eta2.0,mission,dest,0.6703227376690338,8.9668226927591e+17,8.9668226927591e+17,3.330689538339276e-16,1.42748445448088e-16
mission_m31_arrive_eta2.0,mission,side,0.04535915878119018,0.0,2.492693766963114e+19,3.330689538339276e-16,0.0
mission_m31_arrive_eta2.0,mission,depart,0.09071831756238036,0.0,4.895719306998637e+19,3.330689538339276e-16,1.6732985464034244e-16
mission_m31_arrive_eta3.0,mission,dest,1.822126117008655,1.1942612352259054e+17,1.1942612352259054e+17,1.110223041533831e-16,0.0
mission_m31_arrive_eta3.0,mission,side,0.04535915878119018,0.0,2.4149681523877822e+19,1.110223041533831e-16,0.0
mission_m31_arrive_eta3.0,mission,depart,0.09071831756238036,0.0,4.817993692423306e+19,1.110223041533831e-16,0.0
mission_m31_arrive_eta5.0,mission,dest,13.463792097903623,2182042879294863.8,2182042879294863.8,2.220446049250521e-16,1.1457153402997677e-16
mission_m31_arrive_eta5.0,mission,side,0.04535915878119018,0.0,2.403243744323453e+19,2.220446049250521e-16,0.0
mission_m31_arrive_eta5.0,mission,depart,0.09071831756238036,0.0,4.806269284358976e+19,2.220446049250521e-16,0.0
mission_m31_arrive_eta8.0,mission,dest,270.42749330856554,5408498588706.383,5408498588711.511,0.0,3.611214772388988e-16
mission_m31_arrive_eta8.0,mission,side,0.04535915878119018,0.0,2.403026080885381e+19,0.0,1.7045174967434613e-16
mission_m31_arrive_eta8.0,mission,depart,0.09071831756238036,0.0,4.806051620920904e+19,0.0,0.0
mission_m31_flyby_eta0.1,mission,dest,0.0,0.0,2.1707277361893546e+20,0.0,0.0
mission_m31_flyby_eta0.1,mission,side,0.04535915878119018,0.0,2.411030290192907e+20,0.0,1.3590870315187216e-16
mission_m31_flyby_eta0.1,mission,depart,0.09071831756238036,0.0,2.6513328441964593e+20,0.0,0.0
mission_m31_flyby_eta0.24,mission,dest,0.0,0.0,7.801088736951398e+19,0.0,0.0
mission_m31_flyby_eta0.24,mission,side,0.04535915878119018,0.0,1.0204114276986921e+20,0.0,0.0
mission_m31_flyby_eta0.24,mission,depart,0.09071831756238036,0.0,1.2607139817022444e+20,0.0,0.0
mission_m31_flyby_eta0.5,mission,dest,0.0,0.0,2.797009780625517e+19,4.287293576118017e-16,0.0
mission_m31_flyby_eta0.5,mission,side,0.04535915878119018,0.0,5.2000353206610395e+19,4.287293576118017e-16,0.0
mission_m31_flyby_eta0.5,mission,depart,0.09071831756238036,0.0,7.603060860696563e+19,4.287293576118017e-16,0.0
mission_m31_flyby_eta1.0,mission,dest,0.0,0.0,7.522317859872048e+18,0.0,0.0
mission_m31_flyby_eta1.0,mission,side,0.04535915878119018,0.0,3.1552573260227277e+19,0.0,0.0
mission_m31_flyby_eta1.0,mission,depart,0.09071831756238036,0.0,5.558282866058251e+19,0.0,0.0
mission_m31_flyby_eta12.0,mission,dest,0.0,0.0,1814348950.7261946,1.1102230246251568e-16,1.3140723508900274e-16
mission_m31_flyby_eta12.0,mission,side,0.04535915878119018,0.0,2.4030255402169577e+19,1.1102230246251568e-16,1.704517880251157e-16
mission_m31_flyby_eta12.0,mission,depart,0.09071831756238036,0.0,4.806051080252481e+19,1.1102230246251568e-16,0.0
mission_m31_flyby_eta2.0,mission,dest,0.0,0.0,8.9668226927591e+17,1.1129818307607449e-16,1.42748445448088e-16
mission_m31_flyby_eta2.0,mission,side,0.04535915878119018,0.0,2.492693766963114e+19,1.1129818307607449e-16,0.0
mission_m31_flyby_eta2.0,mission,depart,0.09071831756238036,0.0,4.895719306998637e+19,1.1129818307607449e-16,1.6732985464034244e-16
mission_m31_flyby_eta3.0,mission,dest,0.0,0.0,1.1942612352259054e+17,2.220720107883758e-16,0.0
mission_m31_flyby_eta3.0,mission,side,0.04535915878119018,0.0,2.4149681523877822e+19,2.220720107883758e-16,0.0
mission_m31_flyby_eta3.0,mission,depart,0.09071831756238036,0.0,4.817993692423306e+19,2.220720107883758e-16,0.0
mission_m31_flyby_eta5.0,mission,dest,0.0,0.0,2182042879294863.8,3.33067009273518e-16,1.1457153402997677e-16
mission_m31_flyby_eta5.0,mission,side,0.04535915878119018,0.0,2.403243744323453e+19,3.33067009273518e-16,0.0
mission_m31_flyby_eta5.0,mission,depart,0.09071831756238036,0.0,4.806269284358976e+19,3.33067009273518e-16,0.0
mission_m31_flyby_eta8.0,mission,dest,0.0,0.0,5408498588706.385,1.110223024667069e-16,1.8056073861962053e-16
mission_m31_flyby_eta8.0,mission,side,0.04535915878119018,0.0,2.403026080885382e+19,1.110223024667069e-16,1.7045174967434606e-16
mission_m31_flyby_eta8.0,mission,depart,0.09071831756238036,0.0,4.806051620920905e+19,1.110223024667069e-16,0.0
mission_m31_roundtrip_eta0.1,mission,dest,0.10025924630669401,2.1707277361893546e+20,4.822060580385814e+20,0.0,0.0
mission_m31_roundtrip_eta0.1,mission,side,0.04535915878119018,0.0,4.822060580385814e+20,0.0,1.3590870315187216e-16
mission_m31_roundtrip_eta0.1,mission,depart,0.09071831756238036,0.0,4.822060580385814e+20,0.0,0.0
mission_m31_roundtrip_eta0.24,mission,dest,0.11532558411976335,7.801088736951398e+19,2.0408228553973842e+20,4.705006523849998e-16,0.0
mission_m31_roundtrip_eta0.24,mission,side,0.04535915878119018,0.0,2.0408228553973842e+20,4.705006523849998e-16,0.0
mission_m31_roundtrip_eta0.24,mission,depart,0.09071831756238036,0.0,2.0408228553973842e+20,4.705006523849998e-16,0.0
mission_m31_roundtrip_eta0.5,mission,dest,0.14956921980722548,2.797009780625517e+19,1.0400070641322079e+20,5.564909153803724e-16,0.0
mission_m31_roundtrip_eta0.5,mission,side,0.04535915878119018,0.0,1.0400070641322079e+20,5.564909153803724e-16,0.0
mission_m31_roundtrip_eta0.5,mission,depart,0.09071831756238036,0.0,1.0400070641322079e+20,5.564909153803724e-16,0.0
mission_m31_roundtrip_eta1.0,mission,dest,0.24659795413819555,7.522317859872048e+18,6.310514652045455e+19,8.881838768904737e-16,0.0
mission_m31_roundtrip_eta1.0,mission,side,0.04535915878119018,0.0,6.310514652045455e+19,8.881838768904737e-16,0.0
