dest,dist_ly,maneuver,eta,delta_eta_total,mf_over_m0,t_earth_yr,tau_ship_yr,burn_t_earth_s,authority,g3_t_rel,g3_tau_rel,g3_dist_rel
Proxima Centauri,4.25,flyby,0.1,0.1,0.7408182206817179,42.64157231207948,42.429249218508495,1.7585279652267762e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Proxima Centauri,4.25,flyby,0.24,0.24,0.4867522559599717,18.047034854466627,17.539468835695487,4.2540068911593785e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Proxima Centauri,4.25,flyby,0.5,0.5,0.22313016014842982,9.196802008389412,8.155897693173653,9.148351794159287e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Proxima Centauri,4.25,flyby,1.0,1.0,0.049787068367863944,5.5803999633724155,3.6164020450174164,2.063183804387278e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Proxima Centauri,4.25,flyby,2.0,2.0,0.0024787521766663585,4.408587563092504,1.1718124002807675,6.367317949228902e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Proxima Centauri,4.25,flyby,3.0,3.0,0.00012340980408667956,4.271121749083683,0.42424167109366195,0.00017587386241945985,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Proxima Centauri,4.25,flyby,5.0,5.0,3.059023205018258e-07,4.250385916924132,0.05727514978223634,0.0013027119366935814,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.9894679771375361e-16,0.0,0.0
Proxima Centauri,4.25,flyby,8.0,8.0,3.775134544279098e-11,4.250000956549648,0.0028514326619524092,0.026166853733499758,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.9896481809410954e-16,0.0,0.0
Proxima Centauri,4.25,flyby,12.0,12.0,2.3195228302435696e-16,4.250000000321443,5.2225811124746724e-05,1.4286619667577505,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.9896486286017328e-16,0.0,0.0
Proxima Centauri,4.25,arrive,0.1,0.2,0.5488116360940264,42.6415723120795,42.42924921850852,3.5170559304535524e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,1.9896486287522173e-16
