dest,maneuver,eta_50yr,delta_eta_total,mf_over_m0,authority
Proxima Centauri,flyby,0.08489797718816977,0.08489797718816977,0.7751537117412213,[R-standard]+[R]
Proxima Centauri,arrive,0.0848979771881698,0.1697959543763396,0.6008632768261923,[R-standard]+[R]
Proxima Centauri,roundtrip,0.16919163593519604,0.6767665437407842,0.13129617482074157,[R-standard]+[R]
TRAPPIST-1,flyby,0.7404579124098594,0.7404579124098594,0.10846001088283837,[R-standard]+[R]
TRAPPIST-1,arrive,0.7404579124098623,1.4809158248197245,0.01176357396070522,[R-standard]+[R]
TRAPPIST-1,roundtrip,1.2595358952788045,5.038143581115218,2.7282623579135635e-07,[R-standard]+[R]
Sgr A*,flyby,6.946976916690415,6.946976916690415,8.889938928962588e-10,[R-standard]+[R]
Sgr A*,arrive,6.946976916690481,13.893953833380962,7.903101416065304e-19,[R-standard]+[R]
Sgr A*,roundtrip,7.640123403834632,30.56049361533853,1.5248909110244251e-40,[R-standard]+[R]
M31 (Andromeda),flyby,11.52879881422351,11.52879881422351,9.534960012027456e-16,[R-standard]+[R]
M31 (Andromeda),arrive,11.528798814223627,23.057597628447255,9.091546243089931e-31,[R-standard]+[R]
M31 (Andromeda),roundtrip,12.22194599471118,48.88778397884472,2.0179739541514902e-64,[R-standard]+[R]
