x0,deta,tier,T_over_R,authority,fallback_eta,n_arcs,g3_T_rel,g3_xend_rel
0.3,0.1,floor,1000.4842726475393,[R(A3)/STOP-pending],,1,3.65553529374951e-13,6.993673531431708e-15
0.3,0.1,effective,0.5153155168864343,[N],0.36620409622270317,1,3.440661327334174e-13,1.9981924375519167e-15
0.3,0.1,ceiling,0.3704508316937552,[R],,1,3.238205655046728e-13,1.7983731937967247e-14
0.3,0.24,floor,2576.9231451086685,[R(A3)/STOP-pending],,1,8.77227978470148e-13,7.79300343112238e-15
0.3,0.24,effective,1.223867240522139,[N],0.36620409622270317,2,3.7029591417010473e-13,2.6610255618466664e-15
0.3,0.24,ceiling,0.8237166592671251,[R],,1,3.178163100883883e-13,4.181611597187619e-15
0.3,0.5,floor,6883.61427646002,[R(A3)/STOP-pending],,1,2.8750310397630927e-13,7.25619182618784e-15
0.3,0.5,effective,2.2536233506747725,[N],0.36620409622270317,3,1.30293194497183e-12,8.375718565085393e-14
0.3,0.5,ceiling,1.5688506284229848,[R],,1,1.2016177076771707e-13,1.4097744119450661e-14
0.3,1.0,floor,30118.743980002833,[R(A3)/STOP-pending],,1,2.926689989275705e-13,1.6143854958423712e-14
0.3,1.0,effective,3.560736881581351,[N],0.36620409622270317,3,3.129058550650359e-12,8.884927369204416e-14
0.3,1.0,ceiling,2.8759641593295715,[R],,1,3.299827775568711e-13,6.0394277542304536e-15
0.3,2.0,floor,564871.7617733094,[R(A3)/STOP-pending],,1,7.887125304919619e-13,8.018970196380538e-15
0.3,2.0,effective,6.075667442999001,[N],0.36620409622270317,3,1.2356237969087559e-11,1.5688021693282653e-13
0.3,2.0,ceiling,5.390894720747198,[R],,1,6.814278768498295e-13,1.326775068855689e-14
0.3,3.0,floor,11248098.790579794,[R(A3)/STOP-pending],,1,2.6247036201385357e-13,1.3653946612062011e-13
0.3,3.0,effective,8.576403846833726,[N],0.36620409622270317,3,8.797896042997205e-12,1.1201361027589746e-13
0.3,3.0,ceiling,7.89163112458193,[R],,1,6.23622232953661e-13,4.557416496519357e-14
